zip_code,city,state,address_example,overall_grade,violent_crime_grade,property_crime_grade,violent_crimes_per_1000,property_crimes_per_1000,total_crimes_per_1000,cost_of_crime_per_household_usd,confidence,retrievedAtUtc
48201,Detroit,MI,8619 1st Ave,B,B,D,7.4,27.2,34.6,543,0.9,2025-10-26T17:00:57.482ZZ
94103,San Francisco,CA,4590 Mission St,C,D,C,10.8,38,48.8,587,0.94,2025-10-26T17:00:57.482ZZ
33101,Miami,FL,9028 Broadway,F,F,F,18,62.4,80.4,774,0.86,2025-10-26T17:00:57.482ZZ
33101,Miami,FL,6140 Canal St,C,D,C,19.4,57.5,76.9,850,0.8,2025-10-26T17:00:57.482ZZ
94102,San Francisco,CA,5982 Lexington Ave,F,C,B,46.3,133.5,179.8,1269,0.85,2025-10-26T17:00:57.482ZZ
73102,Oklahoma City,OK,1831 Oak St,D,C,A,20.9,55.2,76.1,816,0.86,2025-10-26T17:00:57.482ZZ
37203,Nashville,TN,1137 Maple Ave,F,C,F,10.5,35,45.5,504,0.9,2025-10-26T17:00:57.482ZZ
96813,Honolulu,HI,48 Collins Ave,C,F,B,17.2,63.4,80.6,916,0.87,2025-10-26T17:00:57.482ZZ
85001,Phoenix,AZ,3875 Main St,F,C,B,10.6,33.7,44.3,468,0.91,2025-10-26T17:00:57.482ZZ
80202,Denver,CO,9470 Washington Ave,C,C,D,8.3,25.3,33.6,402,0.84,2025-10-26T17:00:57.482ZZ
10001,New York,NY,3763 Market St,B,B,F,2.3,8.4,10.7,353,0.82,2025-10-26T17:00:57.482ZZ
19104,Philadelphia,PA,2234 Lexington Ave,B,C,D,8.9,31.4,40.3,615,0.81,2025-10-26T17:00:57.482ZZ
94103,San Francisco,CA,9926 Peachtree St NE,B,D,D,7.9,23.3,31.2,467,0.93,2025-10-26T17:00:57.482ZZ
37203,Nashville,TN,8705 1st Ave,D,F,D,8.8,30.5,39.3,428,0.92,2025-10-26T17:00:57.482ZZ
10002,New York,NY,4501 Cedar St,C,C,D,9,34.8,43.8,532,0.94,2025-10-26T17:00:57.482ZZ
77002,Houston,TX,5190 Main St,D,A,F,17.9,67.1,85,612,0.82,2025-10-26T17:00:57.482ZZ
85001,Phoenix,AZ,6878 Peachtree St NE,B,C,B,6,23.3,29.3,392,0.89,2025-10-26T17:00:57.482ZZ
19104,Philadelphia,PA,7110 Broadway,B,A,C,3.2,12.5,15.7,347,0.89,2025-10-26T17:00:57.482ZZ
96813,Honolulu,HI,8563 Pine St,F,A,D,44.7,156.7,201.4,1641,0.95,2025-10-26T17:00:57.482ZZ
10002,New York,NY,6434 Collins Ave,B,A,C,5.8,21.2,27,406,0.91,2025-10-26T17:00:57.482ZZ
98101,Seattle,WA,3846 Canal St,D,F,C,14.9,44.4,59.3,657,0.89,2025-10-26T17:00:57.482ZZ
02115,Boston,MA,8422 Oak St,B,C,B,3.8,14,17.8,367,0.87,2025-10-26T17:00:57.482ZZ
10002,New York,NY,1527 Lexington Ave,A,B,D,4.5,14.2,18.7,445,0.9,2025-10-26T17:00:57.482ZZ
11201,Brooklyn,NY,7385 Fulton St,D,D,D,23.9,93.8,117.7,998,0.89,2025-10-26T17:00:57.482ZZ
77002,Houston,TX,1388 Elm St,D,D,B,32.7,114.7,147.4,1074,0.91,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,756 Peachtree St NE,C,D,C,15.9,41.2,57.1,493,0.91,2025-10-26T17:00:57.482ZZ
20001,Washington,DC,3070 Peachtree St NE,D,B,C,19.7,69.7,89.4,909,0.87,2025-10-26T17:00:57.482ZZ
90011,Los Angeles,CA,9102 Oak St,F,C,C,41.1,130.8,171.9,960,0.8,2025-10-26T17:00:57.482ZZ
02115,Boston,MA,6349 Broadway,B,B,B,4.7,13.7,18.4,433,0.93,2025-10-26T17:00:57.482ZZ
73102,Oklahoma City,OK,3896 Collins Ave,B,D,D,8.7,24.9,33.6,403,0.81,2025-10-26T17:00:57.482ZZ
90001,Los Angeles,CA,5861 Peachtree St NE,F,C,C,13.5,44.5,58,559,0.94,2025-10-26T17:00:57.482ZZ
10001,New York,NY,7691 Market St,A,D,B,1.2,3.7,4.9,318,0.85,2025-10-26T17:00:57.482ZZ
37203,Nashville,TN,4263 Maple Ave,C,D,C,15.9,43.7,59.6,560,0.87,2025-10-26T17:00:57.482ZZ
73301,Austin,TX,1040 Cedar St,D,C,C,24.8,88.4,113.2,827,0.95,2025-10-26T17:00:57.482ZZ
30303,Atlanta,GA,1983 Maple Ave,C,C,C,8.2,30.7,38.9,439,0.94,2025-10-26T17:00:57.482ZZ
73301,Austin,TX,9165 Fulton St,C,D,D,5.3,17,22.3,416,0.94,2025-10-26T17:00:57.482ZZ
11211,Brooklyn,NY,2507 Washington Ave,D,C,B,7.5,21.6,29.1,466,0.82,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,7581 Canal St,C,B,F,11.7,34.5,46.2,620,0.84,2025-10-26T17:00:57.482ZZ
60629,Chicago,IL,4014 Lexington Ave,F,C,B,25.8,71.1,96.9,978,0.95,2025-10-26T17:00:57.482ZZ
77002,Houston,TX,9610 Broadway,A,D,A,2.7,10.7,13.4,350,0.91,2025-10-26T17:00:57.482ZZ
80202,Denver,CO,9610 Canal St,B,F,F,4.2,15.6,19.8,381,0.83,2025-10-26T17:00:57.482ZZ
85001,Phoenix,AZ,8241 Canal St,F,C,D,15.3,55.8,71.1,606,0.87,2025-10-26T17:00:57.482ZZ
10003,New York,NY,5794 Market St,D,C,F,24.1,95.6,119.7,929,0.85,2025-10-26T17:00:57.482ZZ
94102,San Francisco,CA,9874 Washington Ave,C,C,A,10.8,39.5,50.3,573,0.94,2025-10-26T17:00:57.482ZZ
90001,Los Angeles,CA,578 Broadway,D,C,C,21.1,62.7,83.8,644,0.81,2025-10-26T17:00:57.482ZZ
77002,Houston,TX,6148 Market St,A,B,C,1.5,5.2,6.7,337,0.91,2025-10-26T17:00:57.482ZZ
11201,Brooklyn,NY,5 Market St,A,A,C,1.3,4.9,6.2,346,0.82,2025-10-26T17:00:57.482ZZ
72201,Little Rock,AR,1094 Collins Ave,C,F,D,11.9,31.4,43.3,544,0.84,2025-10-26T17:00:57.482ZZ
19104,Philadelphia,PA,8881 Canal St,B,F,F,2.8,8.3,11.1,364,0.85,2025-10-26T17:00:57.482ZZ
94103,San Francisco,CA,3721 Fulton St,F,B,D,45.8,153.9,199.7,1825,0.82,2025-10-26T17:00:57.482ZZ
85001,Phoenix,AZ,7850 Main St,A,D,C,1.5,6,7.5,325,0.95,2025-10-26T17:00:57.482ZZ
60629,Chicago,IL,9430 Main St,A,C,D,3.4,13.2,16.6,373,0.93,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,4181 Washington Ave,C,F,B,4.7,18.2,22.9,473,0.84,2025-10-26T17:00:57.482ZZ
19104,Philadelphia,PA,2732 Elm St,C,C,D,19.1,64.2,83.3,964,0.84,2025-10-26T17:00:57.482ZZ
80202,Denver,CO,3652 Collins Ave,B,A,B,4.9,19.5,24.4,455,0.84,2025-10-26T17:00:57.482ZZ
20001,Washington,DC,8943 Washington Ave,A,D,F,1.7,4.9,6.6,328,0.9,2025-10-26T17:00:57.482ZZ
60629,Chicago,IL,7577 Washington Ave,D,D,C,15.2,43.5,58.7,699,0.82,2025-10-26T17:00:57.482ZZ
94103,San Francisco,CA,9307 Maple Ave,B,C,D,5.5,17.3,22.8,480,0.87,2025-10-26T17:00:57.482ZZ
73301,Austin,TX,5136 Maple Ave,F,A,B,18,62,80,573,0.89,2025-10-26T17:00:57.482ZZ
80202,Denver,CO,7653 Oak St,D,C,B,9.4,27.2,36.6,491,0.87,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,6240 Lexington Ave,D,D,B,18.1,63.7,81.8,612,0.86,2025-10-26T17:00:57.482ZZ
64106,Kansas City,MO,4434 Market St,C,C,D,9.4,29.4,38.8,476,0.89,2025-10-26T17:00:57.482ZZ
80202,Denver,CO,6773 Elm St,D,F,F,29.9,101.4,131.3,925,0.85,2025-10-26T17:00:57.482ZZ
64106,Kansas City,MO,1485 Market St,C,F,B,19.9,76.6,96.5,627,0.94,2025-10-26T17:00:57.482ZZ
48201,Detroit,MI,392 Collins Ave,B,C,D,8.9,24,32.9,546,0.92,2025-10-26T17:00:57.482ZZ
90011,Los Angeles,CA,7354 Pine St,D,F,B,29.9,89.7,119.6,1226,0.82,2025-10-26T17:00:57.482ZZ
73301,Austin,TX,69 Market St,D,A,C,22.7,58.6,81.3,919,0.86,2025-10-26T17:00:57.482ZZ
33101,Miami,FL,6521 Mission St,C,D,D,9.4,23.8,33.2,466,0.88,2025-10-26T17:00:57.482ZZ
80202,Denver,CO,4335 Peachtree St NE,D,D,F,7.1,24.8,31.9,509,0.9,2025-10-26T17:00:57.482ZZ
11201,Brooklyn,NY,1568 Lexington Ave,C,D,D,10.6,39.4,50,642,0.93,2025-10-26T17:00:57.482ZZ
33101,Miami,FL,7468 Cedar St,A,B,D,3.5,12.9,16.4,376,0.81,2025-10-26T17:00:57.482ZZ
48201,Detroit,MI,693 1st Ave,B,A,D,8,25.1,33.1,432,0.85,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,7800 Mission St,D,B,D,18.7,49.7,68.4,769,0.93,2025-10-26T17:00:57.482ZZ
94103,San Francisco,CA,8646 Main St,D,A,D,20.4,53.5,73.9,612,0.89,2025-10-26T17:00:57.482ZZ
80202,Denver,CO,9727 Washington Ave,B,B,A,7.5,19.2,26.7,392,0.92,2025-10-26T17:00:57.482ZZ
48201,Detroit,MI,3490 Maple Ave,C,C,A,13.5,49.3,62.8,687,0.8,2025-10-26T17:00:57.482ZZ
77002,Houston,TX,7464 Washington Ave,C,C,C,6.1,19.6,25.7,423,0.89,2025-10-26T17:00:57.482ZZ
73102,Oklahoma City,OK,3868 Elm St,A,D,B,4.4,12.9,17.3,388,0.82,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,7442 Maple Ave,C,D,D,16.6,66,82.6,567,0.88,2025-10-26T17:00:57.482ZZ
64106,Kansas City,MO,7461 Lexington Ave,F,F,C,17.4,60,77.4,637,0.95,2025-10-26T17:00:57.482ZZ
02115,Boston,MA,6937 Elm St,A,A,D,2.3,6.4,8.7,341,0.94,2025-10-26T17:00:57.482ZZ
90001,Los Angeles,CA,4237 Collins Ave,D,C,B,16.8,67,83.8,848,0.94,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,3967 Canal St,B,D,B,3.6,11.8,15.4,404,0.88,2025-10-26T17:00:57.482ZZ
02115,Boston,MA,7157 Lexington Ave,B,D,C,5.4,18.5,23.9,371,0.82,2025-10-26T17:00:57.482ZZ
02115,Boston,MA,163 Washington Ave,D,F,A,31.7,94.9,126.6,790,0.83,2025-10-26T17:00:57.482ZZ
02115,Boston,MA,67 Main St,F,C,C,23.8,83.7,107.5,919,0.81,2025-10-26T17:00:57.482ZZ
60629,Chicago,IL,4035 Lexington Ave,B,C,D,7.5,29.6,37.1,431,0.92,2025-10-26T17:00:57.482ZZ
48201,Detroit,MI,7557 Market St,D,B,B,17.3,58.3,75.6,752,0.82,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,1471 Oak St,C,D,B,12,47.5,59.5,547,0.93,2025-10-26T17:00:57.482ZZ
10003,New York,NY,7729 Elm St,C,B,D,6.3,20.5,26.8,454,0.89,2025-10-26T17:00:57.482ZZ
64106,Kansas City,MO,4264 Main St,D,D,D,34.8,109.5,144.3,854,0.82,2025-10-26T17:00:57.482ZZ
77002,Houston,TX,70 Cedar St,D,F,D,12.6,34.3,46.9,552,0.82,2025-10-26T17:00:57.482ZZ
77002,Houston,TX,1336 Broadway,D,D,D,21.9,70.6,92.5,854,0.8,2025-10-26T17:00:57.482ZZ
77002,Houston,TX,2119 Maple Ave,B,A,C,6.4,25.6,32,468,0.93,2025-10-26T17:00:57.482ZZ
10002,New York,NY,3152 Oak St,C,B,D,16.5,46.8,63.3,699,0.9,2025-10-26T17:00:57.482ZZ
64106,Kansas City,MO,3618 Collins Ave,D,F,C,7.3,25.1,32.4,542,0.81,2025-10-26T17:00:57.482ZZ
33101,Miami,FL,6838 Maple Ave,C,B,D,15.4,48.1,63.5,725,0.93,2025-10-26T17:00:57.482ZZ
64106,Kansas City,MO,2312 Peachtree St NE,D,D,F,29.8,99.1,128.9,923,0.92,2025-10-26T17:00:57.482ZZ
85001,Phoenix,AZ,4370 Oak St,C,B,D,5.1,16.2,21.3,370,0.88,2025-10-26T17:00:57.482ZZ
60629,Chicago,IL,1513 Elm St,F,C,B,41.2,125.5,166.7,1317,0.87,2025-10-26T17:00:57.482ZZ
85001,Phoenix,AZ,1346 Lexington Ave,D,C,B,29,87.6,116.6,1180,0.92,2025-10-26T17:00:57.482ZZ
90011,Los Angeles,CA,985 Mission St,A,D,F,2.6,8,10.6,377,0.81,2025-10-26T17:00:57.482ZZ
72201,Little Rock,AR,5023 Collins Ave,B,C,B,4.4,15.2,19.6,386,0.81,2025-10-26T17:00:57.482ZZ
33101,Miami,FL,3700 Collins Ave,C,B,D,6,15.8,21.8,403,0.84,2025-10-26T17:00:57.482ZZ
10003,New York,NY,4985 Lexington Ave,D,C,F,19.4,57.9,77.3,732,0.86,2025-10-26T17:00:57.482ZZ
48201,Detroit,MI,1012 Mission St,D,C,A,13.1,47.4,60.5,553,0.86,2025-10-26T17:00:57.482ZZ
90011,Los Angeles,CA,1759 Pine St,B,D,F,9.8,38,47.8,534,0.88,2025-10-26T17:00:57.482ZZ
30303,Atlanta,GA,7142 Fulton St,C,C,C,9.5,37.2,46.7,639,0.87,2025-10-26T17:00:57.482ZZ
73102,Oklahoma City,OK,891 Lexington Ave,D,D,D,11.8,31.5,43.3,570,0.89,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,1217 Mission St,D,B,C,12.7,45.2,57.9,645,0.9,2025-10-26T17:00:57.482ZZ
85001,Phoenix,AZ,610 Maple Ave,D,D,F,34.9,114.8,149.7,1035,0.91,2025-10-26T17:00:57.482ZZ
60601,Chicago,IL,9173 Oak St,D,D,D,28.6,82,110.6,902,0.83,2025-10-26T17:00:57.482ZZ
10002,New York,NY,4389 Collins Ave,F,D,C,32.2,101.3,133.5,973,0.83,2025-10-26T17:00:57.482ZZ
10001,New York,NY,3153 Main St,C,A,D,13.1,46,59.1,680,0.82,2025-10-26T17:00:57.482ZZ
10001,New York,NY,7761 1st Ave,A,D,A,2.7,7.3,10,357,0.87,2025-10-26T17:00:57.482ZZ
90011,Los Angeles,CA,1705 Mission St,F,A,D,19.5,66.6,86.1,659,0.81,2025-10-26T17:00:57.482ZZ
64106,Kansas City,MO,2958 Mission St,A,B,C,1.6,4.9,6.5,328,0.93,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,9099 Mission St,A,C,C,4.2,16.2,20.4,363,0.92,2025-10-26T17:00:57.482ZZ
64106,Kansas City,MO,9229 Pine St,B,D,A,3.1,10.2,13.3,372,0.81,2025-10-26T17:00:57.482ZZ
48201,Detroit,MI,9795 Collins Ave,D,D,A,28.1,80.7,108.8,1046,0.93,2025-10-26T17:00:57.482ZZ
73301,Austin,TX,464 Market St,D,B,B,25.4,79.8,105.2,880,0.9,2025-10-26T17:00:57.482ZZ
10001,New York,NY,5740 1st Ave,C,C,B,17.4,65.2,82.6,725,0.85,2025-10-26T17:00:57.482ZZ
90011,Los Angeles,CA,666 Main St,B,C,D,8.8,24.9,33.7,520,0.85,2025-10-26T17:00:57.482ZZ
30303,Atlanta,GA,4020 Peachtree St NE,B,B,D,8,24.5,32.5,438,0.95,2025-10-26T17:00:57.482ZZ
10002,New York,NY,6619 Oak St,D,D,D,11,42.9,53.9,649,0.95,2025-10-26T17:00:57.482ZZ
94102,San Francisco,CA,9753 1st Ave,D,B,F,13.5,38.7,52.2,556,0.94,2025-10-26T17:00:57.482ZZ
11201,Brooklyn,NY,9135 Fulton St,B,B,D,6.2,15.5,21.7,410,0.94,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,9655 Washington Ave,F,C,D,16.1,55.2,71.3,528,0.95,2025-10-26T17:00:57.482ZZ
73102,Oklahoma City,OK,1485 Broadway,C,B,D,16.4,57.5,73.9,555,0.86,2025-10-26T17:00:57.482ZZ
96813,Honolulu,HI,9102 Cedar St,D,C,C,16.8,63.2,80,693,0.89,2025-10-26T17:00:57.482ZZ
48201,Detroit,MI,1692 Main St,F,C,A,27.5,76,103.5,1004,0.82,2025-10-26T17:00:57.482ZZ
73301,Austin,TX,1206 Lexington Ave,C,B,B,11.8,44.5,56.3,558,0.87,2025-10-26T17:00:57.482ZZ
11211,Brooklyn,NY,6577 Pine St,C,C,D,12.2,43.1,55.3,568,0.88,2025-10-26T17:00:57.482ZZ
72201,Little Rock,AR,2810 Market St,B,C,D,6.7,19,25.7,439,0.86,2025-10-26T17:00:57.482ZZ
85001,Phoenix,AZ,400 Pine St,D,A,B,17.6,51.5,69.1,775,0.85,2025-10-26T17:00:57.482ZZ
37203,Nashville,TN,5069 Maple Ave,C,C,F,17.2,55,72.2,872,0.9,2025-10-26T17:00:57.482ZZ
98101,Seattle,WA,7308 Mission St,C,D,B,13.3,36.3,49.6,614,0.93,2025-10-26T17:00:57.482ZZ
72201,Little Rock,AR,4852 Oak St,C,C,C,8.5,32.4,40.9,573,0.88,2025-10-26T17:00:57.482ZZ
11201,Brooklyn,NY,1618 Cedar St,C,D,D,12.5,46.1,58.6,479,0.83,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,4562 Maple Ave,C,B,A,14.2,51,65.2,665,0.89,2025-10-26T17:00:57.482ZZ
10002,New York,NY,3804 Market St,A,C,D,4.3,15.7,20,393,0.86,2025-10-26T17:00:57.482ZZ
02115,Boston,MA,4749 Main St,F,F,D,31.8,123,154.8,915,0.82,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,1253 Oak St,B,C,D,3.3,10.5,13.8,370,0.92,2025-10-26T17:00:57.482ZZ
80202,Denver,CO,174 Cedar St,C,D,B,18.2,63.7,81.9,857,0.86,2025-10-26T17:00:57.482ZZ
20001,Washington,DC,8847 Lexington Ave,D,F,D,15.2,45.5,60.7,771,0.8,2025-10-26T17:00:57.482ZZ
94102,San Francisco,CA,5294 Main St,D,B,D,13.5,53.4,66.9,622,0.84,2025-10-26T17:00:57.482ZZ
20001,Washington,DC,5708 Peachtree St NE,D,F,F,18.9,70.3,89.2,671,0.86,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,3009 Elm St,B,D,D,4.3,11.3,15.6,370,0.83,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,7963 Collins Ave,F,F,D,11.8,44.1,55.9,719,0.85,2025-10-26T17:00:57.482ZZ
94102,San Francisco,CA,3046 Main St,D,A,D,9,35,44,596,0.83,2025-10-26T17:00:57.482ZZ
10003,New York,NY,3874 Market St,D,B,C,7.4,18.8,26.2,449,0.89,2025-10-26T17:00:57.482ZZ
11201,Brooklyn,NY,1417 Collins Ave,B,B,A,2.4,6.5,8.9,358,0.83,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,1880 Canal St,B,F,D,8.3,28.3,36.6,488,0.81,2025-10-26T17:00:57.482ZZ
73301,Austin,TX,8410 Collins Ave,C,D,C,12.2,34.2,46.4,579,0.85,2025-10-26T17:00:57.482ZZ
80202,Denver,CO,3814 Fulton St,B,C,C,2.5,8,10.5,335,0.91,2025-10-26T17:00:57.482ZZ
33101,Miami,FL,9091 Fulton St,D,F,D,15.7,42.4,58.1,677,0.82,2025-10-26T17:00:57.482ZZ
20001,Washington,DC,6455 Lexington Ave,F,B,A,16,46.7,62.7,678,0.95,2025-10-26T17:00:57.482ZZ
45202,Cincinnati,OH,1496 Cedar St,F,A,A,36.8,99.4,136.2,1257,0.83,2025-10-26T17:00:57.482ZZ
90011,Los Angeles,CA,6939 Maple Ave,D,A,B,13,41.7,54.7,503,0.82,2025-10-26T17:00:57.482ZZ
60629,Chicago,IL,6126 Mission St,D,A,B,13.1,34.3,47.4,547,0.83,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,5902 Elm St,B,D,C,8,23.8,31.8,485,0.91,2025-10-26T17:00:57.482ZZ
33101,Miami,FL,7646 Cedar St,C,B,C,19.3,64.5,83.8,808,0.82,2025-10-26T17:00:57.482ZZ
11211,Brooklyn,NY,5332 Cedar St,B,B,D,6.4,22,28.4,402,0.87,2025-10-26T17:00:57.482ZZ
33101,Miami,FL,2619 Elm St,C,C,D,9.3,33.2,42.5,477,0.94,2025-10-26T17:00:57.482ZZ
72201,Little Rock,AR,7205 Peachtree St NE,C,B,A,14.5,50.8,65.3,680,0.91,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,3435 Peachtree St NE,D,C,D,15.5,39.4,54.9,516,0.9,2025-10-26T17:00:57.482ZZ
98101,Seattle,WA,4308 Pine St,B,C,B,7.1,27.3,34.4,457,0.82,2025-10-26T17:00:57.482ZZ
30303,Atlanta,GA,6103 Mission St,A,C,C,3.1,9.5,12.6,389,0.91,2025-10-26T17:00:57.482ZZ
20001,Washington,DC,7373 Oak St,A,D,C,3.2,12.7,15.9,401,0.88,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,1512 Cedar St,C,B,B,12.7,40.6,53.3,503,0.93,2025-10-26T17:00:57.482ZZ
30303,Atlanta,GA,7260 Elm St,C,C,C,8.5,26.3,34.8,548,0.87,2025-10-26T17:00:57.482ZZ
11211,Brooklyn,NY,5288 Pine St,C,D,C,14,48.9,62.9,495,0.92,2025-10-26T17:00:57.482ZZ
10003,New York,NY,1371 Oak St,D,D,D,15.5,52.6,68.1,760,0.86,2025-10-26T17:00:57.482ZZ
48201,Detroit,MI,6543 Market St,C,D,C,13.5,37,50.5,655,0.9,2025-10-26T17:00:57.482ZZ
11211,Brooklyn,NY,4704 Pine St,C,C,C,14.3,53.2,67.5,570,0.91,2025-10-26T17:00:57.482ZZ
10003,New York,NY,4453 1st Ave,B,D,A,4.3,11.8,16.1,371,0.83,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,4346 Peachtree St NE,D,B,D,26.7,67.4,94.1,862,0.88,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,2337 Oak St,C,D,B,5.9,17.7,23.6,427,0.95,2025-10-26T17:00:57.482ZZ
98101,Seattle,WA,8126 Mission St,B,D,C,3.9,12.3,16.2,371,0.83,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,8805 Fulton St,A,C,D,4,14.6,18.6,422,0.93,2025-10-26T17:00:57.482ZZ
02115,Boston,MA,5257 Main St,F,C,A,19,73.9,92.9,923,0.83,2025-10-26T17:00:57.482ZZ
19104,Philadelphia,PA,7757 Elm St,C,C,A,19.6,75.3,94.9,981,0.85,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,8247 Canal St,C,B,A,12.6,41.7,54.3,525,0.84,2025-10-26T17:00:57.482ZZ
73301,Austin,TX,162 Lexington Ave,D,B,D,11.4,31.8,43.2,479,0.9,2025-10-26T17:00:57.482ZZ
64106,Kansas City,MO,9548 Main St,D,A,B,22.8,75.9,98.7,851,0.9,2025-10-26T17:00:57.482ZZ
85001,Phoenix,AZ,6503 Main St,D,C,A,18.8,50.8,69.6,573,0.85,2025-10-26T17:00:57.482ZZ
98101,Seattle,WA,4962 Fulton St,D,C,C,28,86.7,114.7,1089,0.9,2025-10-26T17:00:57.482ZZ
98101,Seattle,WA,6356 Market St,B,D,D,2.3,5.8,8.1,338,0.81,2025-10-26T17:00:57.482ZZ
10003,New York,NY,9567 Elm St,B,D,B,3.9,14,17.9,436,0.87,2025-10-26T17:00:57.482ZZ
48201,Detroit,MI,1556 Oak St,F,C,C,24.5,81,105.5,974,0.93,2025-10-26T17:00:57.482ZZ
10002,New York,NY,219 Market St,C,B,C,7.9,26.8,34.7,558,0.94,2025-10-26T17:00:57.482ZZ
20001,Washington,DC,8295 Maple Ave,A,B,A,4.1,13.6,17.7,408,0.9,2025-10-26T17:00:57.482ZZ
60601,Chicago,IL,2114 Pine St,A,D,C,5,16.6,21.6,392,0.94,2025-10-26T17:00:57.482ZZ
02115,Boston,MA,2388 Cedar St,F,B,D,38.5,134.1,172.6,1026,0.92,2025-10-26T17:00:57.482ZZ
73301,Austin,TX,7564 Lexington Ave,D,A,B,11.4,42.1,53.5,643,0.88,2025-10-26T17:00:57.482ZZ
60629,Chicago,IL,3224 Fulton St,B,D,D,4.4,13.6,18,387,0.94,2025-10-26T17:00:57.482ZZ
94103,San Francisco,CA,1400 Cedar St,C,D,D,19.5,52.1,71.6,613,0.83,2025-10-26T17:00:57.482ZZ
20001,Washington,DC,1053 Washington Ave,F,C,C,21.1,70.2,91.3,890,0.87,2025-10-26T17:00:57.482ZZ
73102,Oklahoma City,OK,4029 Fulton St,D,C,D,31.4,88.8,120.2,826,0.84,2025-10-26T17:00:57.482ZZ
37203,Nashville,TN,306 Canal St,C,D,C,18.4,68.9,87.3,907,0.8,2025-10-26T17:00:57.482ZZ
45202,Cincinnati,OH,902 Lexington Ave,D,D,F,16.8,55.9,72.7,524,0.82,2025-10-26T17:00:57.482ZZ
94102,San Francisco,CA,3103 1st Ave,F,D,C,12.1,30.5,42.6,463,0.83,2025-10-26T17:00:57.482ZZ
19104,Philadelphia,PA,821 Lexington Ave,F,C,B,23.9,71.4,95.3,993,0.9,2025-10-26T17:00:57.482ZZ
37203,Nashville,TN,7924 Peachtree St NE,F,C,D,35.4,137,172.4,1338,0.92,2025-10-26T17:00:57.482ZZ
30303,Atlanta,GA,3781 Peachtree St NE,C,D,B,13.3,46.4,59.7,512,0.9,2025-10-26T17:00:57.482ZZ
10001,New York,NY,1612 Washington Ave,F,C,F,18.4,52.4,70.8,770,0.82,2025-10-26T17:00:57.482ZZ
19104,Philadelphia,PA,9025 Washington Ave,B,C,D,5.4,21.3,26.7,419,0.83,2025-10-26T17:00:57.482ZZ
98101,Seattle,WA,8316 Market St,D,D,D,32.4,98.3,130.7,1276,0.94,2025-10-26T17:00:57.482ZZ
33101,Miami,FL,3003 Pine St,F,F,D,46.2,178.5,224.7,1757,0.89,2025-10-26T17:00:57.482ZZ
19104,Philadelphia,PA,6211 Peachtree St NE,C,F,A,11.3,30.3,41.6,425,0.84,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,107 Pine St,C,D,C,16.3,63.8,80.1,902,0.82,2025-10-26T17:00:57.482ZZ
73102,Oklahoma City,OK,3759 Peachtree St NE,D,C,A,13.3,34.5,47.8,530,0.92,2025-10-26T17:00:57.482ZZ
73102,Oklahoma City,OK,7106 Lexington Ave,D,D,B,31.4,117,148.4,801,0.93,2025-10-26T17:00:57.482ZZ
73102,Oklahoma City,OK,9150 Market St,B,D,F,4.8,13.7,18.5,406,0.85,2025-10-26T17:00:57.482ZZ
77002,Houston,TX,3881 Elm St,F,D,D,32.5,81.9,114.4,736,0.84,2025-10-26T17:00:57.482ZZ
98101,Seattle,WA,2573 Broadway,A,D,B,3.3,12.4,15.7,360,0.9,2025-10-26T17:00:57.482ZZ
75201,Dallas,TX,8741 Cedar St,B,B,B,2.8,9.5,12.3,355,0.8,2025-10-26T17:00:57.482ZZ
45202,Cincinnati,OH,4084 Canal St,D,F,A,9.1,36.4,45.5,645,0.84,2025-10-26T17:00:57.482ZZ
94102,San Francisco,CA,6895 Broadway,B,A,C,4.6,13.6,18.2,386,0.89,2025-10-26T17:00:57.482ZZ
37203,Nashville,TN,3719 Maple Ave,B,C,F,7.1,28.3,35.4,444,0.93,2025-10-26T17:00:57.482ZZ
10001,New York,NY,2443 Lexington Ave,C,B,D,5.4,16.3,21.7,419,0.86,2025-10-26T17:00:57.482ZZ
33132,Miami,FL,2372 Washington Ave,D,C,C,14.8,52,66.8,735,0.84,2025-10-26T17:00:57.482ZZ
